Name,Party,State
BETO ALBUQUERQUE,PSB,RS
BETO FARO,PT,PA
BETO MANSUR,PP,SP
BILAC PINTO,PR,MG
BISPO GÊ TENUTA,DEM,SP
BONIFÁCIO DE ANDRADA,PSDB,MG
BRIZOLA NETO,PDT,RJ
BRUNO ARAÚJO,PSDB,PE
BRUNO RODRIGUES,PSDB,PE
CAMILO COLA,PMDB,ES
CÂNDIDO VACCAREZZA,PT,SP
CAPITÃO ASSUMÇÃO,PSB,ES
CARLITO MERSS,PT,SC
CARLOS ABICALIL,PT,MT
CARLOS ALBERTO,DEM,MG
CARLOS ALBERTO CANUTO,PSC,AL
CARLOS ALBERTO LERÉIA,PSDB,GO
CARLOS BEZERRA,PMDB,MT
CARLOS BRANDÃO,PSDB,MA
CARLOS EDUARDO CADOCA,PSC,PE
CARLOS MELLES,DEM,MG
CARLOS SAMPAIO,PSDB,SP
CARLOS SANTANA,PT,RJ
CARLOS SOUZA,PP,AM
CARLOS WILLIAN,PTC,MG
CARLOS WILSON,PT,PE
CARLOS ZARATTINI,PT,SP
CASSIO TANIGUCHI,DEM,PR
CELCITA PINHEIRO,DEM,MT
CELSO MALDANER,PMDB,SC
CELSO RUSSOMANNO,PP,SP
CEZAR SCHIRMER,PMDB,RS
CEZAR SILVESTRI,PPS,PR
CHARLES COZZOLINO,PTB,RJ
CHARLES LUCENA,PTB,PE
CHICO ABREU,PR,GO
CHICO ALENCAR,PSOL,RJ
CHICO D'ANGELO,PT,RJ
CHICO DA PRINCESA,PR,PR
CHICO DALTRO,PP,MT
CHICO LOPES,PCdoB,CE
CHICO NETO,PSDB,PA
CIDA DIOGO,PT,RJ
CIRO GOMES,PSB,CE
CIRO NOGUEIRA,PP,PI
CIRO PEDROSA,PV,MG
CLAUDIO CAJADO,DEM,BA
CLÁUDIO DIAZ,PSDB,RS
CLÁUDIO MAGRÃO,PPS,SP
CLEBER VERDE,PRB,MA
CLODOVIL HERNANDES,PR,SP
CLÓVIS FECURY,DEM,MA
COLBERT MARTINS,PMDB,BA
COSTA FERREIRA,PSC,MA
CRISTIANO MATHEUS,PMDB,AL
CUSTÓDIO MATTOS,PSDB,MG
DAGOBERTO,PDT,MS
DALVA FIGUEIREDO,PT,AP
DAMIÃO FELICIANO,PDT,PB
DANIEL ALMEIDA,PCdoB,BA
DANIEL FONTANA,PT,RS
DARCÍSIO PERONDI,PMDB,RS
DAVI ALCOLUMBRE,DEM,AP
DAVI ALVES SILVA JÚNIOR,PR,MA
DÉCIO LIMA,PT,SC
DELEY,PSC,RJ
DEVANIR RIBEIRO,PT,SP
DILCEU SPERAFICO,PP,PR
DIMAS RAMALHO,PPS,SP
DJALMA BERGER,PSB,SC
DOMINGOS DUTRA,PT,MA
DR. ADILSON SOARES,PR,RJ
DR. BASEGIO,PDT,RS
DR. NECHAR,PP,SP
DR. PAULO CÉSAR,PR,RJ
DR. PINOTTI,DEM,SP
DR. ROSINHA,PT,PR
DR. TALMIR,PV,SP
DR. UBIALI,PSB,SP
DUARTE NOGUEIRA,PSDB,SP
EDGAR MOURY,PMDB,PE
EDIGAR MÃO BRANCA,PV,BA
EDINHO BEZ,PMDB,SC
EDINHO MONTEMOR,PSB,SP
EDIO LOPES,PMDB,RR
EDIR OLIVEIRA,PTB,RS
EDMAR MOREIRA,PR,MG
EDMILSON VALENTIM,PCdoB,RJ
EDSON APARECIDO,PSDB,SP
EDSON DUARTE,PV,BA
EDSON EZEQUIEL,PMDB,RJ
EDSON SANTOS,PT,RJ
EDUARDO AMORIM,PSC,SE
EDUARDO BARBOSA,PSDB,MG
EDUARDO CUNHA,PMDB,RJ
EDUARDO DA FONTE,PP,PE
EDUARDO GOMES,PSDB,TO
EDUARDO LOPES,PRB,RJ
EDUARDO MOURA,PPS,MT
EDUARDO SCIARRA,DEM,PR
EDUARDO VALVERDE,PT,RO
EFRAIM FILHO,DEM,PB
ELCIONE BARBALHO,PMDB,PA
ELEUSES PAIVA,DEM,SP
ELIENE LIMA,PP,MT
ELISEU PADILHA,PMDB,RS
ELISMAR PRADO,PT,MG
ELIZEU AGUIAR,PTB,PI
EMANUEL FERNANDES,PSDB,SP
EMILIA FERNANDES,PT,RS
EMILIANO JOSÉ,PT,BA
ENÉAS,PR,SP
ENIO BACCI,PDT,RS
ERNANDES AMORIM,PTB,RO
EUDES XAVIER,PT,CE
EUGÊNIO RABELO,PP,CE
EUNÍCIO OLIVEIRA,PMDB,CE
EURIPEDES MIRANDA,PT,RO
EVANDRO MILHOMEN,PCdoB,AP
FÁBIO FARIA,PMN,RN
FÁBIO RAMALHO,PV,MG
FÁBIO SOUTO,DEM,BA
FÁTIMA BEZERRA,PT,RN
FÁTIMA PELAES,PMDB,AP
FELIPE BORNIER,PHS,RJ
FELIPE MAIA,DEM,RN
FÉLIX MENDONÇA,DEM,BA
FERNANDO CHIARELLI,PDT,SP
FERNANDO CHUCRE,PSDB,SP
FERNANDO COELHO FILHO,PSB,PE
FERNANDO CORUJA,PPS,SC
FERNANDO DE FABINHO,DEM,BA
FERNANDO DINIZ,PMDB,MG
FERNANDO FERRO,PT,PE
FERNANDO GABEIRA,PV,RJ
FERNANDO GONÇALVES,PTB,RJ
FERNANDO LOPES,PMDB,RJ
FERNANDO MARRONI,PT,RS
FERNANDO MELO,PT,AC
FERNANDO NASCIMENTO,PT,PE
FILIPE PEREIRA,PSC,RJ
FLAVIANO MELO,PMDB,AC
FLAVIO ANTUNES,PSDB,PR
FLÁVIO BEZERRA,PRB,CE
FLÁVIO DINO,PCdoB,MA
FRANCISCO PRACIANO,PT,AM
FRANCISCO RODRIGUES,DEM,RR
FRANCISCO ROSSI,PMDB,SP
FRANCISCO TENORIO,PMN,AL
FRANK AGUIAR,PTB,SP
FREDO JÚNIOR,PCdoB,DF
FREIRE JÚNIOR,PSDB,TO
GASTÃO VIEIRA,PMDB,MA
GEDDEL VIEIRA LIMA,PMDB,BA
GEORGE HILTON,PRB,MG
GERALDINHO,PSOL,RS
GERALDO PUDIM,PR,RJ
GERALDO RESENDE,PMDB,MS
GERALDO SIMÕES,PT,BA
GERALDO THADEU,PPS,MG
GERMANO BONOW,DEM,RS
GERÔNIMO DA ADEFAL,PFL,AL
GERSON PERES,PP,PA
GERVÁSIO SILVA,PSDB,SC
GIACOBO,PR,PR
GILMAR MACHADO,PT,MG
GIOVANNI QUEIROZ,PDT,PA
GISELA SEQUEIRA,PSDB,PA
GIVALDO CARIMBÃO,PSB,AL
GLADSON CAMELI,PP,AC
GLAUBER BRAGA,PSB,RJ
GONZAGA PATRIOTA,PSB,PE
GORETE PEREIRA,PR,CE
GUILHERME CAMPOS,DEM,SP
GUILHERME MENEZES,PT,BA
GUSTAVO FRUET,PSDB,PR
HENRIQUE AFONSO,PV,AC
HENRIQUE EDUARDO ALVES,PMDB,RN
HENRIQUE FONTANA,PT,RS
HERMES PARCIANELLO,PMDB,PR
HOMERO PEREIRA,PR,MT
HUGO LEAL,PSC,RJ
HUMBERTO SOUTO,PPS,MG
IARA BERNARDI,PT,SP
IBSEN PINHEIRO,PMDB,RS
ILDERLEI CORDEIRO,PPS,AC
INDIO DA COSTA,DEM,RJ
INOCÊNCIO OLIVEIRA,PR,PE
IRAN BARBOSA,PT,SE
IRINY LOPES,PT,ES
ÍRIS DE ARAÚJO,PMDB,GO
ÍRIS SIMÕES,PR,PR
ITAMAR ROCHA,PMDB,RN
IVAN VALENTE,PSOL,SP
IZALCI,PSDB,DF
JACKSON BARRETO,PMDB,SE
JADER BARBALHO,PMDB,PA
JAIME MARTINS,PR,MG
JAIR BOLSONARO,PP,RJ
JAIRO ATAÍDE,DEM,MG
JAIRO CARNEIRO,PP,BA
JANETE CAPIBERIBE,PSB,AP
JANETE ROCHA PIETÁ,PT,SP
JEFFERSON CAMPOS,PSB,SP
JERÔNIMO REIS,DEM,SE
JILMAR TATTO,PT,SP
JÔ MORAES,PCdoB,MG
JOÃO ALMEIDA,PSDB,BA
JOÃO BATISTA,PMDB,RO
JOÃO BITTAR,DEM,MG
JOÃO CAMPOS,PSDB,GO
JOÃO CARLOS BACELAR,PR,BA
JOÃO DADO,PDT,SP
JOÃO HERRMANN,PDT,SP
JOÃO LEÃO,PP,BA
JOÃO MAGALHÃES,PMDB,MG
JOÃO MAIA,PR,RN
JOÃO MATOS,PMDB,SC
JOÃO OLIVEIRA,DEM,TO
JOÃO PAULO CUNHA,PT,SP
JOÃO PIZZOLATTI,PP,SC
JOAQUIM BELTRÃO,PMDB,AL
JOFRAN FREJAT,PR,DF
JORGE ALBERTO,PMDB,SE
JORGE BITTAR,PT,RJ
JORGE BOEIRA,PT,SC
JORGE KHOURY,DEM,BA
JORGE TADEU MUDALEN,DEM,SP
JORGINHO MALULY,DEM,SP
JOSÉ AIRTON CIRILO,PT,CE
JOSÉ ANÍBAL,PSDB,SP
JOSÉ C. STANGARLINI,PSDB,SP
JOSÉ CARLOS ALELUIA,DEM,BA
JOSÉ CARLOS ARAÚJO,PDT,BA
JOSÉ CARLOS MACHADO,DEM,SE
JOSÉ CARLOS VIEIRA,PR,SC
JOSÉ CHAVES,PTB,PE
JOSÉ EDMAR,PR,DF
JOSÉ EDUARDO CARDOZO,PT,SP
JOSÉ FERNANDO APARECIDO DE OLIVEIRA,PV,MG
JOSÉ GENOÍNO,PT,SP
JOSÉ GUIMARÃES,PT,CE
JOSE HUMBERTO,PPS,MG
JOSÉ LINHARES,PP,CE
JOSÉ MAIA FILHO,DEM,PI
JOSÉ MENDONÇA BEZERRA,DEM,PE
JOSÉ MENTOR,PT,SP
JOSÉ MÚCIO MONTEIRO,PTB,PE
JOSÉ OTÁVIO GERMANO,PP,RS
JOSÉ PAULO TÓFFANO,PV,SP
JOSÉ PIMENTEL,PT,CE
JOSÉ ROBERTO DUDÉ,PT,ES
JOSÉ ROCHA,PR,BA
JOSÉ SANTANA DE VASCONCELLOS,PR,MG
JOSEPH BANDEIRA,PT,BA
JOVAIR ARANTES,PTB,GO
JULIÃO AMIN,PDT,MA
JÚLIO CESAR,DEM,PI
JÚLIO DELGADO,PSB,MG
JÚLIO REDECKER,PSDB,RS
JULIO SEMEGHINI,PSDB,SP
JÚNIOR MARZOLA,DEM,TO
JURANDIL JUAREZ,PMDB,AP
JURANDY LOUREIRO,PSC,ES
JUSMARI OLIVEIRA,PR,BA
JUTAHY JUNIOR,PSDB,BA
JUVENIL,PRTB,MG
LAEL VARELLA,DEM,MG
LAERCIO OLIVEIRA,PSDB,SE
LAERTE BESSA,PSC,DF
LAUREZ MOREIRA,PSB,TO
LÁZARO BOTELHO,PP,TO
LEANDRO SAMPAIO,PPS,RJ
LEANDRO VILELA,PMDB,GO
LELO COIMBRA,PMDB,ES
LEO ALCÂNTARA,PR,CE
LÉO VIVAS,PRB,RJ
LEONARDO MONTEIRO,PT,MG
LEONARDO PICCIANI,PMDB,RJ
LEONARDO QUINTÃO,PMDB,MG
LEONARDO VILELA,PSDB,GO
LÍDICE DA MATA,PSB,BA
LINCOLN PORTELA,PR,MG
LINDOMAR GARÇON,PV,RO
LIRA MAIA,DEM,PA
LOBBE NETO,PSDB,SP
LUCENIRA PIMENTEL,PR,AP
LUCIANA COSTA,PR,SP
LUCIANA GENRO,PSOL,RS
LUCIANO CASTRO,PR,RR
LUCIANO PIZZATTO,DEM,PR
LÚCIO VALE,PR,PA
LUIS CARLOS HEINZE,PP,RS
LUIZ ALBERTO,PT,BA
LUIZ BASSUMA,PV,BA
LUIZ BITTENCOURT,PMDB,GO
LUIZ CARLOS BUSATO,PTB,RS
LUIZ CARLOS HAULY,PSDB,PR
LUIZ CARLOS SETIM,DEM,PR
LUIZ CARREIRA,DEM,BA
LUIZ COUTO,PT,PB
LUIZ FERNANDO FARIA,PP,MG
LUIZ PAULO VELLOZO LUCAS,PSDB,ES
LUIZ SÉRGIO,PT,RJ
LUIZA ERUNDINA,PSB,SP
LUPÉRCIO RAMOS,PMDB,AM
MAGELA,PT,DF
MAJOR FÁBIO,DEM,PB
MANATO,PDT,ES
MANOEL JUNIOR,PMDB,PB
MANOEL SALVIANO,PSDB,CE
MANUELA D'ÁVILA,PCdoB,RS
MARÇAL FILHO,PMDB,MS
MARCELO ALMEIDA,PMDB,PR
MARCELO CASTRO,PMDB,PI
MARCELO GUIMARÃES FILHO,PMDB,BA
MARCELO ITAGIBA,PSDB,RJ
MARCELO MELO,PMDB,GO
MARCELO ORTIZ,PV,SP
MARCELO SERAFIM,PSB,AM
MARCELO TEIXEIRA,PR,CE
MÁRCIO FRANÇA,PSB,SP
MARCIO JUNQUEIRA,DEM,RR
MÁRCIO MARINHO,PRB,BA
MARCIO PASSOS,PR,MG
MÁRCIO REINALDO MOREIRA,PP,MG
MARCO MAIA,PT,RS
MARCONDES GADELHA,PSC,PB
MARCOS ANTONIO,PRB,PE
MARCOS LIMA,PMDB,MG
MARCOS MEDRADO,PDT,BA
MARCOS MONTES,DEM,MG
MARIA DO CARMO LARA,PT,MG
MARIA DO ROSÁRIO,PT,RS
MARIA HELENA,PSB,RR
MARIA LÚCIA CARDOSO,PMDB,MG
MARINA MAGGESSI,PPS,RJ
MARINHA RAUPP,PMDB,RO
MÁRIO DE OLIVEIRA,PSC,MG
MÁRIO HERINGER,PDT,MG
MÁRIO NEGROMONTE,PP,BA
MATTEO CHIARELLI,DEM,RS
MAURÍCIO QUINTELLA LESSA,PR,AL
MAURÍCIO RANDS,PT,PE
MAURÍCIO TRINDADE,PR,BA
MAURO BENEVIDES,PMDB,CE
MAURO LOPES,PMDB,MG
MAURO MARIANI,PMDB,SC
MAURO NAZIF,PSB,RO
MAX ROSENMANN,PMDB,PR
MENDES RIBEIRO FILHO,PMDB,RS
MENDONÇA PRADO,DEM,SE
MICHEL TEMER,PMDB,SP
MIGUEL CORRÊA,PT,MG
MIGUEL MARTINI,PHS,MG
MILTON BARBOSA,PSC,BA
MILTON MONTI,PR,SP
MILTON VIEIRA,DEM,SP
MIRO TEIXEIRA,PDT,RJ
MOACIR MICHELETTO,PMDB,PR
MOISES AVELINO,PMDB,TO
MOREIRA MENDES,PPS,RO
MUSSA DEMES,DEM,PI
NARCIO RODRIGUES,PSDB,MG
NATAN DONADON,PMDB,RO
NAZARENO FONTELES,PT,PI
NEILTON MULIM,PR,RJ
NÉLIO DIAS,PP,RN
NELSON BORNIER,PMDB,RJ
NELSON GOETTEN,PR,SC
NELSON MARQUEZELLI,PTB,SP
NELSON MEURER,PP,PR
NELSON PELLEGRINO,PT,BA
NELSON PROENÇA,PPS,RS
NELSON TRAD,PMDB,MS
NERI GELLER,PSDB,MT
NEUCIMAR FRAGA,PR,ES
NEUDO CAMPOS,PP,RR
NICE LOBÃO,DEM,MA
NILMAR RUIZ,PR,TO
NILSON MOURÃO,PT,AC
NILSON PINTO,PSDB,PA
ODAIR CUNHA,PT,MG
ODÍLIO BALBINOTTI,PMDB,PR
OLAVO CALHEIROS,PMDB,AL
ONYX LORENZONI,DEM,RS
OSMAR JÚNIOR,PCdoB,PI
OSMAR SERRAGLIO,PMDB,PR
OSMAR TERRA,PMDB,RS
OSÓRIO ADRIANO,DEM,DF
OSVALDO BIOLCHI,PMDB,RS
OSVALDO REIS,PMDB,TO
OTAVIO LEITE,PSDB,RJ
PAES DE LIRA,PTC,SP
PASTOR FRANKEMBERGEN,PTB,RR
PASTOR MANOEL FERREIRA,PR,RJ
PASTOR PEDRO RIBEIRO,PR,CE
PAULO AB,ACKEL,PSDB,MG
PAULO BAUER,PSDB,SC
PAULO BORNHAUSEN,DEM,SC
PAULO DELGADO,PT,MG
PAULO HENRIQUE LUSTOSA,PMDB,CE
PAULO LIMA,PMDB,SP
PAULO MAGALHÃES,DEM,BA
PAULO MALUF,PP,SP
PAULO PEREIRA DA SILVA,PDT,SP
PAULO PIAU,PMDB,MG
PAULO PIMENTA,PT,RS
PAULO RATTES,PMDB,RJ
PAULO RENATO SOUZA,PSDB,SP
PAULO ROBERTO PEREIRA,PTB,RS
PAULO ROCHA,PT,PA
PAULO RUBEM SANTIAGO,PDT,PE
PAULO TEIXEIRA,PT,SP
PEDRO CHAVES,PMDB,GO
PEDRO EUGÊNIO,PT,PE
PEDRO FERNANDES,PTB,MA
PEDRO HENRY,PP,MT
PEDRO NOVAIS,PMDB,MA
PEDRO VALADARES,DEM,SE
PEDRO WILSON,PT,GO
PEPE VARGAS,PT,RS
PERPÉTUA ALMEIDA,PCdoB,AC
PINTO ITAMARATY,PSDB,MA
POMPEO DE MATTOS,PDT,RS
PROFESSOR RUY PAULETTI,PSDB,RS
PROFESSOR SETIMO,PMDB,MA
PROFESSOR VICTORIO GALLI,PMDB,MT
PROFESSORA RAQUEL TEIXEIRA,PSDB,GO
R. SÁ FILHO,PSDB,PI
RAFAEL GUERRA,PSDB,MG
RAIMUNDO GOMES DE MATOS,PSDB,CE
RATINHO JUNIOR,PSC,PR
RAUL HENRY,PMDB,PE
RAUL JUNGMANN,PPS,PE
REBECCA GARCIA,PP,AM
REGINALDO LOPES,PT,MG
REGIS DE OLIVEIRA,PSC,SP
REINALDO NOGUEIRA,PDT,SP
REINHOLD STEPHANES,PMDB,PR
RENATO AMARY,PSDB,SP
RENATO COZZOLINO,PDT,RJ
RENATO MOLLING,PP,RS
RENILDO CALHEIROS,PCdoB,PE
RIBAMAR ALVES,PSB,MA
RICARDO BARROS,PP,PR
RICARDO BERZOINI,PT,SP
RICARDO IZAR,PTB,SP
RICARDO QUIRINO,PR,DF
RICARDO TRIPOLI,PSDB,SP
RICARTE DE FREITAS,PTB,MT
RITA CAMATA,PSDB,ES
ROBERTO ALVES,PTB,SP
ROBERTO BALESTRA,PP,GO
ROBERTO BRITTO,PP,BA
ROBERTO MAGALHÃES,DEM,PE
ROBERTO ROCHA,PSDB,MA
ROBERTO SANTIAGO,PV,SP
ROBSON TUMA,DEM,SP
RODOVALHO,PP,DF
RODRIGO BETHLEM,PMDB,RJ
RODRIGO DE CASTRO,PSDB,MG
RODRIGO MAIA,DEM,RJ
RODRIGO ROCHA LOURES,PMDB,PR
RODRIGO ROLLEMBERG,PSB,DF
ROGERIO LISBOA,DEM,RJ
ROGÉRIO MARINHO,PSDB,RN
ROGÉRIO ROSSO,PMDB,DF
ROGÉRIO SILVA,PP,MT
RÔMULO GOUVEIA,PSDB,PB
RONALDO CAIADO,DEM,GO
RONALDO CUNHA LIMA,PSDB,PB
RONALDO LEITE,PHS,AM
ROSE DE FREITAS,PMDB,ES
RUBENS OTONI,PT,GO
SÁ,PR,RR
SABINO CASTELO BRANCO,PTB,AM
SALLES,DEM,SP
SANDES JÚNIOR,PP,GO
SANDRA ROSADO,PSB,RN
SANDRO MABEL,PR,GO
SANDRO MATOS,PR,RJ
SARAIVA FELIPE,PMDB,MG
SARNEY FILHO,PV,MA
SATURNINO MASSON,PSDB,MT
SEBASTIÃO BALA ROCHA,PDT,AP
SEBASTIÃO MADEIRA,PSDB,MA
SÉRGIO BARRADAS CARNEIRO,PT,BA
SÉRGIO BRITO,PSC,BA
SÉRGIO MORAES,PTB,RS
SERGIO PETECÃO,PMN,AC
SEVERIANO ALVES,PMDB,BA
SILAS BRASILEIRO,PMDB,MG
SILAS CÂMARA,PSC,AM
SILVINHO PECCIOLI,DEM,SP
SILVIO COSTA,PTB,PE
SILVIO LOPES,PSDB,RJ
SILVIO TORRES,PSDB,SP
SIMÃO SESSIM,PP,RJ
SOLANGE ALMEIDA,PMDB,RJ
SOLANGE AMARAL,DEM,RJ
SUELI VIDIGAL,PDT,ES
SUELY,PR,RJ
TADEU FILIPPELLI,PMDB,DF
TAKAYAMA,PSC,PR
TARCÍSIO ZIMMERMANN,PT,RS
TATICO,PTB,GO
TELMA DE SOUZA,PT,SP
THELMA DE OLIVEIRA,PSDB,MT
THEMÍSTOCLES SAMPAIO,PMDB,PI
TONHA MAGALHÃES,PR,BA
ULDURICO PINTO,PHS,BA
URZENI ROCHA,PSDB,RR
VADÃO GOMES,PP,SP
VALADARES FILHO,PSB,SE
VALDEMAR COSTA NETO,PR,SP
VALDIR COLATTO,PMDB,SC
VALTENIR PEREIRA,PSB,MT
VANDER LOUBET,PT,MS
VANDERLEI MACRIS,PSDB,SP
VANESSA GRAZZIOTIN,PCdoB,AM
VELOSO,PMDB,BA
VIC PIRES FRANCO,DEM,PA
VICENTE ARRUDA,PR,CE
VICENTE SELISTRE,PSB,RS
VICENTINHO,PT,SP
VICENTINHO ALVES,PR,TO
VIEGAS,PSDB,PB
VIEIRA DA CUNHA,PDT,RS
VIGNATTI,PT,SC
VILSON COVATTI,PP,RS
VINICIUS CARVALHO,PTdoB,RJ
VIRGÍLIO GUIMARÃES,PT,MG
VITAL DO RÊGO FILHO,PMDB,PB
VITOR PENIDO,DEM,MG
WALDEMIR MOKA,PMDB,MS
WALDIR MARANHÃO,PP,MA
WALDIR NEVES,PSDB,MS
WALTER BRITO NETO,PRB,PB
WALTER FELDMAN,PSDB,SP
WALTER IHOSHI,DEM,SP
WALTER PINHEIRO,PT,BA
WANDENKOLK GONÇALVES,PSDB,PA
WASHINGTON LUIZ,PT,MA
WELLINGTON FAGUNDES,PR,MT
WELLINGTON ROBERTO,PR,PB
WILLIAM WOO,PPS,SP
WILSON BRAGA,PMDB,PB
WILSON PICLER,PDT,PR
WILSON SANTIAGO,PMDB,PB
WLADIMIR COSTA,PMDB,PA
WOLNEY QUEIROZ,PDT,PE
ZÉ GERALDO,PT,PA
ZÉ GERARDO,PMDB,CE
ZÉ VIEIRA,PR,MA
ZENALDO COUTINHO,PSDB,PA
ZEQUINHA MARINHO,PSC,PA
ZEZÉU RIBEIRO,PT,BA
ZONTA,PP,SC
