Name,Party,State
ABELARDO CAMARINHA,PSB,SP
ABELARDO LUPION,DEM,PR
ACÁCIO JÚNIOR,PSB,CE
ACÉLIO CASAGRANDE,PMDB,SC
ADÃO PRETTO,PT,RS
ADEMIR CAMILO,PDT,MG
AELTON FREITAS,PR,MG
AFFONSO CAMARGO,PSDB,PR
AFONSO HAMM,PP,RS
AGNALDO MUNIZ,PSC,RO
AIRTON ROVEDA,PR,PR
ALBANO FRANCO,PSDB,SE
ALBÉRICO FILHO,PMDB,MA
ALBERTO FRAGA,DEM,DF
ALBERTO SILVA,PMDB,PI
ALCENI GUERRA,DEM,PR
ALDO REBELO,PCdoB,SP
ALESSANDRO SABINO,PMDB,AP
ALEX CANZIANI,PTB,PR
ALEXANDRE CARDOSO,PSB,RJ
ALEXANDRE SANTOS,PMDB,RJ
ALEXANDRE SILVEIRA,PPS,MG
ALFREDO KAEFER,PSDB,PR
ALICE PORTUGAL,PCdoB,BA
ALINE CORRÊA,PP,SP
ANA ARRAES,PSB,PE
ANDRÉ DE PAULA,DEM,PE
ANDRÉ MONTORO,PSDB,SP
ANDRE VARGAS,PT,PR
ANDRÉ ZACHAROW,PMDB,PR
ANDREIA ZITO,PSDB,RJ
ANGELA AMIN,PP,SC
ANGELA PORTELA,PT,RR
ANGELO VANHONI,PT,PR
ANÍBAL GOMES,PMDB,CE
ANN PONTES,PMDB,PA
ANSELMO DE JESUS,PT,RO
ANTÔNIO ANDRADE,PMDB,MG
ANTONIO BULHÕES,PRB,SP
ANTONIO CARLOS,PSDB,MG
ANTÔNIO CARLOS BIFFI,PT,MS
ANTONIO CARLOS BISCAIA,PT,RJ
ANTONIO CARLOS CHAMARIZ,PTB,AL
ANTONIO CARLOS MAGALHÃES NETO,DEM,BA
ANTONIO CARLOS MENDES THAME,PSDB,SP
ANTONIO CARLOS PANNUNZIO,PSDB,SP
ANTONIO CRUZ,PP,MS
ANTONIO FEIJÃO,PTC,AP
ANTONIO JOSÉ MEDEIROS,PT,PI
ANTONIO PALOCCI,PT,SP
ANTÔNIO ROBERTO,PV,MG
ARACELY DE PAULA,PR,MG
ARIOSTO HOLANDA,PSB,CE
ARLINDO CHINAGLIA,PT,SP
ARMANDO ABÍLIO,PTB,PB
ARMANDO MONTEIRO,PTB,PE
ARNALDO FARIA DE SÁ,PTB,SP
ARNALDO JARDIM,PPS,SP
ARNALDO MADEIRA,PSDB,SP
ARNALDO VIANNA,PDT,RJ
ARNON BEZERRA,PTB,CE
AROLDE DE OLIVEIRA,DEM,RJ
ASDRUBAL BENTES,PMDB,PA
ASSIS DO COUTO,PT,PR
ÁTILA LINS,PMDB,AM
ÁTILA LIRA,PSB,PI
AUGUSTO CARVALHO,PPS,DF
AUGUSTO FARIAS,PTB,AL
AYRTON XEREZ,DEM,RJ
B. SÁ,PSB,PI
BARBOSA NETO,PDT,PR
BEL MESQUITA,PMDB,PA
BENE CAMACHO,PTB,MA
BENEDITO DE LIRA,PP,AL
BERNARDO ARISTON,PMDB,RJ
BETINHO ROSADO,DEM,RN
